CMDLINE /Users/shamik/anaconda3/envs/uEnv/bin/python3.10 jax_cone.py
MEM 281.468750 1685664033.7776
MEM 281.812500 1685664033.8827
MEM 300.343750 1685664033.9870
MEM 787.750000 1685664034.0923
MEM 1400.500000 1685664034.1948
MEM 2042.843750 1685664034.2999
MEM 2619.640625 1685664034.4051
MEM 3256.750000 1685664034.5104
MEM 3876.734375 1685664034.6118
MEM 4492.468750 1685664034.7155
MEM 5146.968750 1685664034.8207
MEM 6198.843750 1685664034.9260
MEM 8797.359375 1685664035.0312
MEM 10934.015625 1685664035.1365
MEM 12359.234375 1685664035.2417
MEM 12418.046875 1685664035.3449
MEM 14073.828125 1685664035.4501
MEM 16151.218750 1685664035.5553
MEM 19003.890625 1685664035.6605
MEM 21293.843750 1685664035.7657
MEM 23076.671875 1685664035.8698
MEM 24515.078125 1685664035.9751
MEM 24515.078125 1685664036.0803
MEM 24515.078125 1685664036.1866
MEM 24515.078125 1685664036.2892
MEM 24515.078125 1685664036.3945
MEM 24515.078125 1685664036.4998
MEM 24515.078125 1685664036.6015
MEM 24515.078125 1685664036.7036
MEM 24515.078125 1685664036.8157
MEM 24515.078125 1685664036.9164
MEM 24515.078125 1685664037.0196
MEM 24515.078125 1685664037.1250
MEM 24515.078125 1685664037.2269
MEM 24515.078125 1685664037.3322
MEM 24515.078125 1685664037.4378
MEM 24515.078125 1685664037.5422
MEM 24515.078125 1685664037.6447
MEM 24515.078125 1685664037.7502
MEM 24515.078125 1685664037.8556
MEM 24515.078125 1685664037.9608
MEM 24515.078125 1685664038.0643
MEM 24515.078125 1685664038.1695
MEM 24515.078125 1685664038.2747
MEM 24515.078125 1685664038.3799
MEM 24515.078125 1685664038.4851
MEM 24515.078125 1685664038.5872
MEM 24515.078125 1685664038.6923
MEM 24515.078125 1685664038.7976
MEM 24515.078125 1685664038.9028
MEM 24515.078125 1685664039.0080
MEM 24515.078125 1685664039.1132
MEM 24515.078125 1685664039.2185
MEM 24515.078125 1685664039.3237
MEM 24515.078125 1685664039.4283
MEM 24515.078125 1685664039.5336
MEM 24515.078125 1685664039.6388
MEM 24515.078125 1685664039.7440
MEM 24515.078125 1685664039.8492
MEM 24515.078125 1685664039.9544
MEM 24515.078125 1685664040.0596
MEM 24515.078125 1685664040.1649
MEM 24515.078125 1685664040.2703
MEM 15875.062500 1685664040.3739
MEM 15875.062500 1685664040.4781
MEM 15875.062500 1685664040.5784
MEM 16258.828125 1685664040.6836
MEM 18090.750000 1685664040.7889
MEM 20021.906250 1685664040.8941
MEM 21299.203125 1685664040.9946
MEM 21833.734375 1685664041.0954
MEM 22392.359375 1685664041.2006
MEM 22972.515625 1685664041.3028
MEM 23700.140625 1685664041.4080
MEM 24426.203125 1685664041.5132
MEM 26278.765625 1685664041.6185
MEM 27221.234375 1685664041.7201
MEM 28161.750000 1685664041.8213
MEM 29140.687500 1685664041.9260
MEM 29813.906250 1685664042.0276
MEM 30496.921875 1685664042.1329
MEM 31175.937500 1685664042.2370
MEM 31858.375000 1685664042.3418
MEM 32533.750000 1685664042.4446
MEM 33146.515625 1685664042.5498
MEM 19334.109375 1685664042.6550
MEM 19334.109375 1685664042.7599
MEM 20121.343750 1685664042.8651
MEM 21234.265625 1685664042.9696
MEM 22840.562500 1685664043.0748
MEM 24184.687500 1685664043.1800
MEM 26431.687500 1685664043.2852
MEM 24088.421875 1685664043.3870
MEM 25719.375000 1685664043.4922
MEM 27513.312500 1685664043.5974
MEM 28869.296875 1685664043.7026
MEM 30311.453125 1685664043.8036
MEM 31393.343750 1685664043.9087
MEM 32348.937500 1685664044.0140
MEM 33312.109375 1685664044.1192
MEM 34276.656250 1685664044.2244
MEM 35307.921875 1685664044.3268
MEM 36348.984375 1685664044.4280
MEM 37380.921875 1685664044.5332
MEM 34457.031250 1685664044.6362
MEM 34553.796875 1685664044.7414
MEM 35656.375000 1685664044.8466
MEM 37660.984375 1685664044.9518
MEM 40127.218750 1685664045.0527
MEM 42813.875000 1685664045.1580
MEM 43743.890625 1685664045.2593
MEM 45088.843750 1685664045.3612
MEM 46544.312500 1685664045.4664
MEM 46650.750000 1685664045.5716
MEM 46650.750000 1685664045.6738
MEM 46650.750000 1685664045.7812
MEM 46650.750000 1685664045.8865
MEM 46650.750000 1685664045.9870
MEM 46650.750000 1685664046.0955
MEM 46650.750000 1685664046.2008
MEM 46650.750000 1685664046.3035
MEM 46650.750000 1685664046.4087
MEM 46650.750000 1685664046.5140
MEM 46650.750000 1685664046.6193
MEM 46650.750000 1685664046.7245
MEM 46650.750000 1685664046.8279
MEM 46650.750000 1685664046.9332
MEM 46650.750000 1685664047.0384
MEM 46650.750000 1685664047.1407
MEM 46650.750000 1685664047.2453
MEM 46650.750000 1685664047.3505
MEM 46650.750000 1685664047.4536
MEM 46650.750000 1685664047.5582
MEM 46650.750000 1685664047.6640
MEM 46650.750000 1685664047.7679
MEM 46650.750000 1685664047.8693
MEM 46650.750000 1685664047.9747
MEM 46650.750000 1685664048.0777
MEM 46650.750000 1685664048.1829
MEM 46650.750000 1685664048.2885
MEM 46650.750000 1685664048.3920
MEM 46650.750000 1685664048.4951
MEM 46650.750000 1685664048.6022
MEM 46650.750000 1685664048.7075
MEM 46650.750000 1685664048.8127
MEM 46650.750000 1685664048.9180
MEM 46650.750000 1685664049.0202
MEM 46650.750000 1685664049.1253
MEM 46650.750000 1685664049.2306
MEM 46650.750000 1685664049.3367
MEM 46650.750000 1685664049.4399
MEM 46650.750000 1685664049.5451
MEM 46650.750000 1685664049.6503
MEM 46650.750000 1685664049.7555
MEM 46650.750000 1685664049.8607
MEM 46650.750000 1685664049.9647
MEM 46650.750000 1685664050.0699
MEM 46650.750000 1685664050.1703
MEM 46650.750000 1685664050.2755
MEM 46650.750000 1685664050.3807
MEM 46650.750000 1685664050.4859
MEM 46650.750000 1685664050.5911
MEM 46650.750000 1685664050.6964
MEM 46650.750000 1685664050.8012
MEM 46650.750000 1685664050.9064
MEM 46650.750000 1685664051.0132
MEM 46650.750000 1685664051.1159
MEM 46650.750000 1685664051.2212
MEM 46650.750000 1685664051.3264
MEM 46650.750000 1685664051.4275
MEM 46650.750000 1685664051.5282
MEM 46650.750000 1685664051.6334
MEM 46650.750000 1685664051.7364
MEM 46650.750000 1685664051.8416
MEM 46650.750000 1685664051.9443
MEM 46650.750000 1685664052.0516
MEM 46650.750000 1685664052.1529
MEM 46650.750000 1685664052.2582
MEM 46650.750000 1685664052.3634
MEM 46650.750000 1685664052.4643
MEM 46650.750000 1685664052.5695
MEM 46650.750000 1685664052.6747
MEM 46650.750000 1685664052.7812
MEM 46650.750000 1685664052.8822
MEM 46650.750000 1685664052.9874
MEM 46650.750000 1685664053.0926
MEM 46650.750000 1685664053.1946
MEM 46650.750000 1685664053.2998
MEM 46650.750000 1685664053.4050
MEM 39882.750000 1685664053.5074
MEM 36282.734375 1685664053.6114
MEM 36381.156250 1685664053.7167
MEM 38012.046875 1685664053.8219
MEM 36954.750000 1685664053.9271
MEM 38108.484375 1685664054.0279
MEM 39630.203125 1685664054.1281
MEM 41242.421875 1685664054.2285
MEM 40097.234375 1685664054.3337
MEM 40878.687500 1685664054.4389
MEM 40236.843750 1685664054.5441
MEM 39933.109375 1685664054.6449
MEM 39933.109375 1685664054.7501
MEM 39933.109375 1685664054.8529
MEM 39933.109375 1685664054.9535
MEM 39933.109375 1685664055.0587
MEM 39933.109375 1685664055.1639
MEM 39933.109375 1685664055.2691
MEM 39933.109375 1685664055.3742
MEM 39933.109375 1685664055.4794
MEM 39933.109375 1685664055.5846
MEM 39933.109375 1685664055.6865
MEM 33997.390625 1685664055.7868
MEM 27837.390625 1685664055.8919
MEM 20125.390625 1685664055.9970
MEM 17566.578125 1685664056.1022
MEM 18450.796875 1685664056.2074
MEM 20672.359375 1685664056.3127
MEM 23402.281250 1685664056.4179
MEM 25922.312500 1685664056.5233
MEM 27585.343750 1685664056.6236
MEM 29306.609375 1685664056.7265
